hour,id,count
22,7d92d86747a5b9e1740e6145093e87cd,0.0
23,7d92d86747a5b9e1740e6145093e87cd,0.0
0,7d9c36c31eac065a887d305bfe39be4d,3.0
1,7d9c36c31eac065a887d305bfe39be4d,0.0
2,7d9c36c31eac065a887d305bfe39be4d,0.0
3,7d9c36c31eac065a887d305bfe39be4d,0.0
4,7d9c36c31eac065a887d305bfe39be4d,0.0
5,7d9c36c31eac065a887d305bfe39be4d,1.0
6,7d9c36c31eac065a887d305bfe39be4d,6.0
7,7d9c36c31eac065a887d305bfe39be4d,1.0
8,7d9c36c31eac065a887d305bfe39be4d,4.0
9,7d9c36c31eac065a887d305bfe39be4d,4.0
10,7d9c36c31eac065a887d305bfe39be4d,2.0
11,7d9c36c31eac065a887d305bfe39be4d,3.0
12,7d9c36c31eac065a887d305bfe39be4d,4.0
13,7d9c36c31eac065a887d305bfe39be4d,4.0
14,7d9c36c31eac065a887d305bfe39be4d,3.0
15,7d9c36c31eac065a887d305bfe39be4d,3.0
16,7d9c36c31eac065a887d305bfe39be4d,4.0
17,7d9c36c31eac065a887d305bfe39be4d,7.0
18,7d9c36c31eac065a887d305bfe39be4d,7.0
19,7d9c36c31eac065a887d305bfe39be4d,5.0
20,7d9c36c31eac065a887d305bfe39be4d,6.0
21,7d9c36c31eac065a887d305bfe39be4d,0.0
22,7d9c36c31eac065a887d305bfe39be4d,1.0
23,7d9c36c31eac065a887d305bfe39be4d,0.0
0,7daea0063189fadb110689aa9c15ed2f,1.0
1,7daea0063189fadb110689aa9c15ed2f,0.0
2,7daea0063189fadb110689aa9c15ed2f,0.0
3,7daea0063189fadb110689aa9c15ed2f,0.0
4,7daea0063189fadb110689aa9c15ed2f,0.0
5,7daea0063189fadb110689aa9c15ed2f,0.0
6,7daea0063189fadb110689aa9c15ed2f,0.0
7,7daea0063189fadb110689aa9c15ed2f,0.0
8,7daea0063189fadb110689aa9c15ed2f,0.0
9,7daea0063189fadb110689aa9c15ed2f,1.0
10,7daea0063189fadb110689aa9c15ed2f,0.0
11,7daea0063189fadb110689aa9c15ed2f,0.0
12,7daea0063189fadb110689aa9c15ed2f,0.0
13,7daea0063189fadb110689aa9c15ed2f,1.0
14,7daea0063189fadb110689aa9c15ed2f,0.0
15,7daea0063189fadb110689aa9c15ed2f,0.0
16,7daea0063189fadb110689aa9c15ed2f,0.0
17,7daea0063189fadb110689aa9c15ed2f,0.0
18,7daea0063189fadb110689aa9c15ed2f,0.0
19,7daea0063189fadb110689aa9c15ed2f,0.0
20,7daea0063189fadb110689aa9c15ed2f,0.0
21,7daea0063189fadb110689aa9c15ed2f,0.0
22,7daea0063189fadb110689aa9c15ed2f,0.0
23,7daea0063189fadb110689aa9c15ed2f,0.0
0,7db2f0cb0c59740514f6a7c20f07820a,0.0
1,7db2f0cb0c59740514f6a7c20f07820a,0.0
2,7db2f0cb0c59740514f6a7c20f07820a,0.0
3,7db2f0cb0c59740514f6a7c20f07820a,0.0
4,7db2f0cb0c59740514f6a7c20f07820a,0.0
5,7db2f0cb0c59740514f6a7c20f07820a,0.0
6,7db2f0cb0c59740514f6a7c20f07820a,0.0
7,7db2f0cb0c59740514f6a7c20f07820a,0.0
8,7db2f0cb0c59740514f6a7c20f07820a,0.0
9,7db2f0cb0c59740514f6a7c20f07820a,0.0
10,7db2f0cb0c59740514f6a7c20f07820a,0.0
